partition 	 mvg 	 mvglog 	 naive 	 tied 
8 	 79.91266375545851 	79.91266375545851	79.47598253275109 	 79.91266375545851
8 	 86.02620087336244 	86.02620087336244	83.84279475982532 	 81.6593886462882
8 	 79.03930131004367 	79.03930131004367	76.85589519650655 	 78.16593886462883
8 	 81.6593886462882 	81.6593886462882	82.53275109170306 	 82.09606986899564
8 	 76.85589519650655 	76.85589519650655	76.85589519650655 	 77.72925764192141
8 	 77.72925764192141 	77.72925764192141	74.67248908296943 	 74.67248908296943
8 	 84.27947598253274 	84.27947598253274	81.22270742358079 	 80.78602620087337
8 	 85.58951965065502 	85.58951965065502	82.53275109170306 	 82.53275109170306
means 	 81.38646288209607 	 81.38646288209607 	 79.74890829694323 	 79.6943231441048 
 
