partition 	 mvg 	 mvglog 	 naive 	 tied 
8 	 77.29257641921397 	77.29257641921397	75.10917030567686 	 79.47598253275109
8 	 80.78602620087337 	80.78602620087337	77.72925764192141 	 80.34934497816593
8 	 85.1528384279476 	85.1528384279476	77.29257641921397 	 80.78602620087337
8 	 86.02620087336244 	86.02620087336244	81.22270742358079 	 82.96943231441048
8 	 75.9825327510917 	75.9825327510917	71.61572052401746 	 74.67248908296943
8 	 76.41921397379913 	76.41921397379913	77.72925764192141 	 77.72925764192141
8 	 77.72925764192141 	77.72925764192141	73.36244541484717 	 78.60262008733623
8 	 82.96943231441048 	82.96943231441048	73.7991266375546 	 77.72925764192141
means 	 80.29475982532752 	 80.29475982532752 	 75.98253275109171 	 79.03930131004367 
 
